lon,lat,elev_m,dB_mGal
-75.37521251671974,4.502069140300838,1937.0,-64.71315578237336
-75.37269745647878,4.502069140300838,2038.0,-62.64390373252002
-75.37018239623782,4.502069140300838,2176.0,-61.73283500519804
-75.36766733599686,4.502069140300838,2355.0,-61.95726646921354
-75.36543172689377,4.502069140300838,2480.0,-62.32027892098418
-75.36291666665281,4.502069140300838,2505.0,-62.67941397455987
-75.4093055555417,4.504027777770425,2372.0,-62.83630589132084
-75.40679049530074,4.504027777770425,2259.0,-63.430778278754985
-75.40455488619766,4.504027777770425,2107.0,-64.28763999418447
-75.40203982595669,4.504027777770425,1995.0,-65.29305395421997
-75.39952476571574,4.504027777770425,1890.0,-66.36177812704643
-75.39700970547477,4.504027777770425,1769.0,-67.27726907660099
-75.39477409637169,4.504027777770425,1641.0,-68.0071206687777
-75.39225903613072,4.504027777770425,1771.0,-67.34112746881505
-75.38974397588976,4.504027777770425,1924.0,-66.62913623839532
-75.38722891564879,4.504027777770425,2088.0,-66.14534653649473
-75.38499330654572,4.504027777770425,2157.0,-66.03546586480796
-75.38247824630476,4.504027777770425,2113.0,-65.94886697565117
-75.37996318606379,4.504027777770425,2010.0,-65.73691110504755
-75.37744812582282,4.504027777770425,1914.0,-65.37976083480709
-75.37521251671974,4.504027777770425,1903.0,-64.42095762912051
-75.37269745647878,4.504027777770425,2079.0,-63.166135748870204
-75.37018239623782,4.504027777770425,2180.0,-62.77556832426313
-75.36766733599686,4.504027777770425,2350.0,-62.72084131574199
-75.36543172689377,4.504027777770425,2462.0,-62.767757764925236
-75.36291666665281,4.504027777770425,2564.0,-62.87119691871156
