lon,lat,elev_m,dBn_nT_per_m,dBe_nT_per_m,dBz_nT_per_m
-75.39952476571574,4.481923154899375,2283.0,413.2472266715606,690.5174191161404,-334.9656689531881
-75.39700970547477,4.481923154899375,2390.0,482.5594756078283,160.38044977404678,-10.664705061785
-75.39477409637169,4.481923154899375,2384.0,713.5127586316571,-830.6575523738028,736.1234666608943
-75.39225903613072,4.481923154899375,2547.0,1638.2230607088563,-660.2127434596555,227.17403370594326
-75.38974397588976,4.481923154899375,2707.0,1997.6918352674425,-695.2879544949467,-335.5982556366738
-75.38722891564879,4.481923154899375,2678.0,2223.5159034311214,-465.7700948957594,-345.9130373811332
-75.38499330654572,4.481923154899375,2715.0,2275.44795993955,-119.09821963069814,-345.9130373811332
-75.38247824630476,4.481923154899375,2574.0,2232.0532455569564,303.77251910708446,-345.9153788319493
-75.37996318606379,4.481923154899375,2493.0,2123.223494370121,708.7426183120856,-347.8324675850181
-75.37744812582282,4.481923154899375,2518.0,1945.3934663352811,1056.5286554643887,-345.9220260993235
-75.37521251671974,4.481923154899375,2520.0,1775.322564644443,1186.8144703028102,-345.9130373811332
-75.37269745647878,4.481923154899375,2456.0,1611.5478058417423,948.0084596541831,-345.9130373811332
-75.37018239623782,4.481923154899375,2571.0,1462.198023652893,736.2968921421675,-345.9130373811332
-75.36766733599686,4.481923154899375,2751.0,1303.7627758440503,651.1761986532016,-345.9130373811332
-75.36543172689377,4.481923154899375,2834.0,1202.32062101369,629.3723843116512,-345.9130373811332
-75.36291666665281,4.481923154899375,2792.0,1251.0820542394852,537.1101653192095,-345.9130373811332
-75.4093055555417,4.483881792368962,1929.0,646.835414933888,1021.4247965742945,-345.9130373811332
-75.40679049530074,4.483881792368962,1773.0,397.76238346384173,1501.7573073744204,-345.9130373811332
-75.40455488619766,4.483881792368962,1895.0,206.4251872141499,1522.8891463733962,-345.9130373811332
-75.40203982595669,4.483881792368962,2016.0,73.61326855272611,1085.5285018792115,-345.9130373811332
-75.39952476571574,4.483881792368962,2236.0,-98.2518543144482,705.4365107287449,-353.34110453952917
-75.39700970547477,4.483881792368962,2337.0,-194.61276165425153,226.82193888670508,-464.11743714229624
-75.39477409637169,4.483881792368962,2372.0,390.8426827635667,128.82796958874385,-1211.807152929603
-75.39225903613072,4.483881792368962,2532.0,884.8881527698086,-946.0215352261562,-488.7714680832206
-75.38974397588976,4.483881792368962,2740.0,1329.031097030369,-1230.114273503415,-333.6699240635819
-75.38722891564879,4.483881792368962,2669.0,1684.3759903777545,-1075.4512874775146,-345.9130373811332
-75.38499330654572,4.483881792368962,2662.0,1844.0511382307197,-737.1271821144171,-345.91305271188844
-75.38247824630476,4.483881792368962,2510.0,1906.544767463909,-249.15420747900316,-449.6074123886842
-75.37996318606379,4.483881792368962,2496.0,1900.4303283545414,299.7858408819509,-584.3765640308593
-75.37744812582282,4.483881792368962,2528.0,1734.8660228689978,815.893271536809,-448.42627133864335
-75.37521251671974,4.483881792368962,2571.0,1585.4358174052377,1159.3848900093208,-345.9217465139969
-75.37269745647878,4.483881792368962,2482.0,1470.1028064654192,1009.0210627426372,-345.9130373811332
-75.37018239623782,4.483881792368962,2560.0,1374.8793099759569,847.5016620935037,-345.9130373811332
-75.36766733599686,4.483881792368962,2725.0,1266.4274350657106,837.9202754206328,-345.9130373811332
-75.36543172689377,4.483881792368962,2758.0,1220.6336610984436,734.0064955925959,-345.9130373811332
-75.36291666665281,4.483881792368962,2671.0,1214.3071067357305,623.7603442952409,-345.9130373811332
-75.4093055555417,4.485840429838549,1934.0,577.6321206091036,1228.3083954620931,-345.9130373811332
-75.40679049530074,4.485840429838549,1809.0,326.6814281398272,1669.9392917240991,-345.9130373811332
-75.40455488619766,4.485840429838549,1767.0,109.52974896815937,1623.2181543645083,-345.9130373811332
-75.40203982595669,4.485840429838549,1991.0,-164.06136988025582,1272.7792186715296,-345.9130373811332
-75.39952476571574,4.485840429838549,2160.0,-455.04252364322434,778.9942439723773,-369.9470641577951
-75.39700970547477,4.485840429838549,2209.0,-874.9125563088678,-97.81589709206466,-1277.531378828986
-75.39477409637169,4.485840429838549,2328.0,-1133.687486699077,-1245.9526534461577,-1525.0511181805439
-75.39225903613072,4.485840429838549,2509.0,-52.638075690652514,-1650.497375210628,-1140.2918332068982
-75.38974397588976,4.485840429838549,2718.0,725.6521308755651,-1860.5479879942109,-347.52901712200935
-75.38722891564879,4.485840429838549,2624.0,1236.1381818024151,-1694.2422807377234,-345.9130373811332
-75.38499330654572,4.485840429838549,2567.0,1449.2543799983432,-1313.9273838356685,-346.13230349405785
-75.38247824630476,4.485840429838549,2445.0,1505.8495754306614,-785.845123812602,-475.34179366075045
-75.37996318606379,4.485840429838549,2476.0,1653.5703380969944,-77.29976814384653,-955.2298639338651
-75.37744812582282,4.485840429838549,2594.0,1412.3485218895762,610.1136309205821,-477.2253026009738
-75.37521251671974,4.485840429838549,2592.0,1337.3079998220144,1163.8735846911654,-345.79189295430353
-75.37269745647878,4.485840429838549,2509.0,1309.2695444273627,1334.521036994804,-345.9130373811332
-75.37018239623782,4.485840429838549,2585.0,1274.7438876116717,1071.4012798456733,-345.9130373811332
-75.36766733599686,4.485840429838549,2680.0,1224.362066166726,1019.7857813688014,-345.9130373811332
-75.36543172689377,4.485840429838549,2658.0,1228.939618620039,860.4341921116396,-345.9130373811332
-75.36291666665281,4.485840429838549,2607.0,1205.4726721653178,730.7082245482862,-345.9130373811332
-75.4093055555417,4.487799067308136,2045.0,566.7560883458316,1362.1799755983125,-345.9130373811332
-75.40679049530074,4.487799067308136,1901.0,311.7397484740424,1699.9929396588104,-345.9130373811332
-75.40455488619766,4.487799067308136,1733.0,125.03786603629541,1639.3245660358798,-345.9130373811332
-75.40203982595669,4.487799067308136,1929.0,-185.6350006764472,1412.2484472768183,-345.9130373811332
-75.39952476571574,4.487799067308136,2060.0,-541.315341248205,1018.6510767714724,-674.5957017888155
-75.39700970547477,4.487799067308136,2229.0,-945.042335177262,115.73132407498831,-2402.391341622525
-75.39477409637169,4.487799067308136,2333.0,-1385.638333777225,-1634.6925345986378,-3612.8226231709377
-75.39225903613072,4.487799067308136,2465.0,-564.2240102848141,-2253.578417102001,-1082.6797936798075
-75.38974397588976,4.487799067308136,2642.0,357.0202047736184,-2568.721211734271,-361.0522395890224
-75.38722891564879,4.487799067308136,2570.0,972.1899879994164,-2311.948724277001,-345.94972622486955
-75.38499330654572,4.487799067308136,2544.0,1190.8217111997728,-1789.5822412020032,-346.71583768959886
-75.38247824630476,4.487799067308136,2404.0,970.291865880324,-1270.5125921865051,-740.8147605497501
-75.37996318606379,4.487799067308136,2484.0,516.6189355529689,-998.5033057419678,-875.906822956922
-75.37744812582282,4.487799067308136,2636.0,889.7997277707149,580.8332268661638,-448.1490406254434
-75.37521251671974,4.487799067308136,2551.0,1071.6692184945327,1522.9001424875923,-372.0366464788068
-75.37269745647878,4.487799067308136,2489.0,1159.70274240257,1727.1279882293572,-345.9130373811332
-75.37018239623782,4.487799067308136,2610.0,1194.4778121267218,1392.5096318808946,-345.9130373811332
-75.36766733599686,4.487799067308136,2618.0,1201.8933911815257,1180.1876756498095,-345.9130373811332
-75.36543172689377,4.487799067308136,2566.0,1231.54111767844,1004.7344186298003,-345.9130373811332
-75.36291666665281,4.487799067308136,2537.0,1210.5762851668428,824.8324240197542,-345.9130373811332
-75.4093055555417,4.49003751013052,2106.0,629.7633943302492,1421.123667911834,-345.9130373811332
-75.40679049530074,4.49003751013052,1950.0,367.0783903183583,1607.3282660946657,-345.9130373811332
-75.40455488619766,4.49003751013052,1759.0,227.4652310561363,1544.1233658868791,-345.9130373811332
-75.40203982595669,4.49003751013052,1844.0,11.542900947512928,1368.9028684524942,-345.9130373811332
-75.39952476571574,4.49003751013052,2169.0,-243.2443993311399,1143.7093572927306,-461.46511752736376
-75.39700970547477,4.49003751013052,2276.0,-528.3301347389771,642.0971887431583,-435.72265758713615
-75.39477409637169,4.49003751013052,2334.0,-956.7368613760854,-138.81638294036077,23.523512198745028
-75.39225903613072,4.49003751013052,2407.0,-378.49171021818745,-2576.1521547607344,-614.6600762506324
-75.38974397588976,4.49003751013052,2497.0,305.31932591597655,-3494.5584513925937,-274.0727159299207
-75.38722891564879,4.49003751013052,2530.0,951.1287534834155,-2989.7355220559593,-528.3177257184093
-75.38499330654572,4.49003751013052,2433.0,1310.6989390112772,-2034.696115345972,-496.1491100442414
-75.38247824630476,4.49003751013052,2419.0,686.3551667383506,-1236.2502413073503,-604.1711152871043
-75.37996318606379,4.49003751013052,2568.0,-288.47065975606574,16.916667102669308,-1090.8992545679375
-75.37744812582282,4.49003751013052,2535.0,613.5628062128324,1903.4393439314922,52.14418569216775
-75.37521251671974,4.49003751013052,2491.0,903.6305431264672,2219.771008500312,-104.6315381955771
-75.37269745647878,4.49003751013052,2486.0,1087.5113212527708,2213.0277913409773,-345.91303707124746
-75.37018239623782,4.49003751013052,2557.0,1150.3644805474703,1774.5331136665654,-345.9130373811332
-75.36766733599686,4.49003751013052,2495.0,1198.5332426562118,1348.8899951101225,-345.9130373811332
-75.36543172689377,4.49003751013052,2478.0,1244.1700286970827,1153.2278211514104,-345.9130373811332
-75.36291666665281,4.49003751013052,2455.0,1227.9038020088274,910.1893046191392,-345.9130373811332
-75.4093055555417,4.491996147600107,2148.0,774.6272259057693,1434.0236713120144,-345.9130373811332
-75.40679049530074,4.491996147600107,1989.0,485.0911283308784,1448.1936005258212,-345.9130373811332
-75.40455488619766,4.491996147600107,1779.0,374.4803969033763,1365.5204333397696,-345.9130373811332
-75.40203982595669,4.491996147600107,1827.0,251.4844539131833,1169.5736358591378,-345.9130373811332
-75.39952476571574,4.491996147600107,2051.0,174.88245014850006,874.1284111452533,-343.24886497567354
-75.39700970547477,4.491996147600107,2160.0,234.7330533374034,366.5222437859304,908.7322197726719
-75.39477409637169,4.491996147600107,2302.0,588.9640507564635,-433.56875307193104,437.5253368571189
-75.39225903613072,4.491996147600107,2301.0,536.4635668192408,-3125.601693356112,-1681.259586418168
-75.38974397588976,4.491996147600107,2357.0,363.7800670426859,-4413.975956028549,-338.5663545677935
-75.38722891564879,4.491996147600107,2456.0,983.6644517595381,-3099.9221123453044,-1512.6924940134293
-75.38499330654572,4.491996147600107,2367.0,1865.4817920499752,-1760.6932907211735,-1369.367685205299
-75.38247824630476,4.491996147600107,2456.0,1517.7463172019457,-697.8463798159171,949.6453604911219
-75.37996318606379,4.491996147600107,2455.0,408.4404169872969,1310.5772127395899,258.5630331469949
-75.37744812582282,4.491996147600107,2452.0,753.5194802672895,2642.4353282381,462.2499133283959
-75.37521251671974,4.491996147600107,2407.0,989.9801687403002,2683.88572053629,-123.01899393183467
-75.37269745647878,4.491996147600107,2518.0,1114.3344482355797,2540.993289902086,-345.9130373645891
-75.37018239623782,4.491996147600107,2527.0,1153.2428803160617,2030.6745232692465,-345.9130373811332
-75.36766733599686,4.491996147600107,2455.0,1217.7634909870994,1468.6605175669163,-345.9130373811332
-75.36543172689377,4.491996147600107,2407.0,1266.7941851322564,1236.3735712790317,-345.9130373811332
-75.36291666665281,4.491996147600107,2414.0,1251.6634334450803,957.7806847515175,-345.9130373811332
-75.4093055555417,4.493954785069693,2206.0,961.3405389095276,1382.2202993790222,-345.9130373811332
-75.40679049530074,4.493954785069693,2022.0,672.469902387753,1322.4911079829649,-345.9130373811332
-75.40455488619766,4.493954785069693,1788.0,569.5832753759737,1129.2151739118249,-345.9130373811332
-75.40203982595669,4.493954785069693,1739.0,498.734968944883,843.615589870512,-345.9130373811332
-75.39952476571574,4.493954785069693,1928.0,534.3135795265791,403.2521466963531,-344.77506122346267
-75.39700970547477,4.493954785069693,2113.0,746.142526222296,-506.2664658964356,393.4022658003313
-75.39477409637169,4.493954785069693,2181.0,1118.8621518743157,-2006.4489078764805,-175.24357532012422
