# META_JSON={"dz_m": 25.0, "model_depth_m": 2000.0, "dome_depth_m": 600.0, "under_depth_m": 750.0, "crater_depth_m": 50.0, "affine6": [0.0002777777777778146, 0.0, -75.4093055555417, 0.0, -0.0002777777777778146, 4.504027777770425], "units": ["Complejo Cajamarca", "Edificio Volcánico", "Depósitos dentro del cráter", "Domo dacítico", "under_dome"], "unit_properties": {"Complejo Cajamarca": {"dens": 2.9, "chi": 0.01}, "Edificio Volcánico": {"dens": 1.8, "chi": 0.02}, "Depósitos dentro del cráter": {"dens": 1.95, "chi": 0.015}, "Domo dacítico": {"dens": 2.5, "chi": 0.03}, "under_dome": {"dens": 1.9, "chi": 0.02}}, "grid_shape": {"nk": 80, "H": 138, "W": 167}, "note": "Leer con pandas.read_csv(..., comment='#'). Cada fila es un intervalo vertical continuo por (x,y)."}
x_easting_m,y_northing_m,top_depth_m,bottom_depth_m,top_elev_m,bottom_elev_m,unit,dens,chi
-75.3844444444306,4.503888888881536,625.0,2000.0,1830.0,455.0,Complejo Cajamarca,2.9,0.01
-75.38416666665282,4.503888888881536,0.0,625.0,2438.0,1813.0,Edificio Volcánico,1.8,0.02
-75.38416666665282,4.503888888881536,625.0,2000.0,1813.0,438.0,Complejo Cajamarca,2.9,0.01
-75.38388888887503,4.503888888881536,0.0,625.0,2428.0,1803.0,Edificio Volcánico,1.8,0.02
-75.38388888887503,4.503888888881536,625.0,2000.0,1803.0,428.0,Complejo Cajamarca,2.9,0.01
-75.38361111109725,4.503888888881536,0.0,625.0,2423.0,1798.0,Edificio Volcánico,1.8,0.02
-75.38361111109725,4.503888888881536,625.0,2000.0,1798.0,423.0,Complejo Cajamarca,2.9,0.01
-75.38333333331948,4.503888888881536,0.0,625.0,2404.0,1779.0,Edificio Volcánico,1.8,0.02
-75.38333333331948,4.503888888881536,625.0,2000.0,1779.0,404.0,Complejo Cajamarca,2.9,0.01
-75.3830555555417,4.503888888881536,0.0,625.0,2384.0,1759.0,Edificio Volcánico,1.8,0.02
-75.3830555555417,4.503888888881536,625.0,2000.0,1759.0,384.0,Complejo Cajamarca,2.9,0.01
-75.38277777776392,4.503888888881536,0.0,625.0,2372.0,1747.0,Edificio Volcánico,1.8,0.02
-75.38277777776392,4.503888888881536,625.0,2000.0,1747.0,372.0,Complejo Cajamarca,2.9,0.01
-75.38249999998615,4.503888888881536,0.0,625.0,2354.0,1729.0,Edificio Volcánico,1.8,0.02
-75.38249999998615,4.503888888881536,625.0,2000.0,1729.0,354.0,Complejo Cajamarca,2.9,0.01
-75.38222222220837,4.503888888881536,0.0,625.0,2346.0,1721.0,Edificio Volcánico,1.8,0.02
-75.38222222220837,4.503888888881536,625.0,2000.0,1721.0,346.0,Complejo Cajamarca,2.9,0.01
-75.38194444443059,4.503888888881536,0.0,625.0,2336.0,1711.0,Edificio Volcánico,1.8,0.02
-75.38194444443059,4.503888888881536,625.0,2000.0,1711.0,336.0,Complejo Cajamarca,2.9,0.01
-75.38166666665282,4.503888888881536,0.0,625.0,2334.0,1709.0,Edificio Volcánico,1.8,0.02
-75.38166666665282,4.503888888881536,625.0,2000.0,1709.0,334.0,Complejo Cajamarca,2.9,0.01
-75.38138888887504,4.503888888881536,0.0,625.0,2326.0,1701.0,Edificio Volcánico,1.8,0.02
-75.38138888887504,4.503888888881536,625.0,2000.0,1701.0,326.0,Complejo Cajamarca,2.9,0.01
-75.38111111109725,4.503888888881536,0.0,625.0,2321.0,1696.0,Edificio Volcánico,1.8,0.02
-75.38111111109725,4.503888888881536,625.0,2000.0,1696.0,321.0,Complejo Cajamarca,2.9,0.01
-75.38083333331949,4.503888888881536,0.0,625.0,2325.0,1700.0,Edificio Volcánico,1.8,0.02
-75.38083333331949,4.503888888881536,625.0,2000.0,1700.0,325.0,Complejo Cajamarca,2.9,0.01
-75.3805555555417,4.503888888881536,0.0,625.0,2333.0,1708.0,Edificio Volcánico,1.8,0.02
-75.3805555555417,4.503888888881536,625.0,2000.0,1708.0,333.0,Complejo Cajamarca,2.9,0.01
-75.38027777776392,4.503888888881536,0.0,625.0,2333.0,1708.0,Edificio Volcánico,1.8,0.02
-75.38027777776392,4.503888888881536,625.0,2000.0,1708.0,333.0,Complejo Cajamarca,2.9,0.01
-75.37999999998615,4.503888888881536,0.0,625.0,2328.0,1703.0,Edificio Volcánico,1.8,0.02
-75.37999999998615,4.503888888881536,625.0,2000.0,1703.0,328.0,Complejo Cajamarca,2.9,0.01
-75.37972222220837,4.503888888881536,0.0,625.0,2321.0,1696.0,Edificio Volcánico,1.8,0.02
-75.37972222220837,4.503888888881536,625.0,2000.0,1696.0,321.0,Complejo Cajamarca,2.9,0.01
-75.37944444443059,4.503888888881536,0.0,625.0,2316.0,1691.0,Edificio Volcánico,1.8,0.02
-75.37944444443059,4.503888888881536,625.0,2000.0,1691.0,316.0,Complejo Cajamarca,2.9,0.01
-75.37916666665281,4.503888888881536,0.0,625.0,2317.0,1692.0,Edificio Volcánico,1.8,0.02
-75.37916666665281,4.503888888881536,625.0,2000.0,1692.0,317.0,Complejo Cajamarca,2.9,0.01
